Channel_Die,Start,End,Operation
1-4,8700816,8900832,READ
1-5,8700832,8900848,READ
-1--1,8700848,8700850,COMPUTE
-1--1,8700864,8700866,COMPUTE
-1--1,8700880,8700882,COMPUTE
-1--1,8750896,8750898,COMPUTE
-1--1,8750912,8750916,COMPUTE
1-11,8750928,11401104,READ
-1--1,8750944,8750948,COMPUTE
1-1,8750960,9200992,READ
-1--1,8950800,8950802,COMPUTE
-1--1,8950816,8950822,COMPUTE
1-4,8950832,9400864,READ
1-5,8950848,9150864,READ
-1--1,8950864,8950866,COMPUTE
-1--1,8950880,8950882,COMPUTE
-1--1,8950896,8950898,COMPUTE
-1--1,8950912,8950916,COMPUTE
1-10,8950928,9150944,READ
-1--1,9000944,9000946,COMPUTE
-1--1,9000960,9000962,COMPUTE
-1--1,9000976,9000978,COMPUTE
-1--1,9200816,9200820,COMPUTE
1-3,9200832,9400848,READ
-1--1,9200848,9200852,COMPUTE
1-5,9200864,9650896,READ
-1--1,9200880,9200882,COMPUTE
-1--1,9200896,9200898,COMPUTE
-1--1,9200912,9200914,COMPUTE
-1--1,9200928,9200932,COMPUTE
1-10,9200944,10401024,READ
-1--1,9250960,9250966,COMPUTE
1-0,9250976,10901088,READ
1-1,9250992,9451008,READ
-1--1,9450832,9450838,COMPUTE
1-3,9450848,11450992,READ
1-4,9450864,10100912,READ
-1--1,9450880,9450882,COMPUTE
-1--1,9450896,9450900,COMPUTE
1-7,9450912,9650928,READ
-1--1,9450928,9450932,COMPUTE
1-9,9450944,9650960,READ
-1--1,9450960,9450962,COMPUTE
-1--1,9500976,9500978,COMPUTE
-1--1,9500992,9500996,COMPUTE
1-1,9501008,10401072,READ
-1--1,9650848,9650850,COMPUTE
-1--1,9700864,9700866,COMPUTE
-1--1,9700880,9700888,COMPUTE
1-5,9700896,10600960,READ
1-6,9700912,10100944,READ
1-7,9700928,12351104,READ
-1--1,9700944,9700948,COMPUTE
1-9,9700960,10651024,READ
-1--1,9700976,9700978,COMPUTE
-1--1,9750992,9750994,COMPUTE
-1--1,9751008,9751010,COMPUTE
-1--1,9751024,9751026,COMPUTE
-1--1,9900864,9900866,COMPUTE
-1--1,9950880,9950882,COMPUTE
-1--1,9950896,9950898,COMPUTE
-1--1,9950912,9950914,COMPUTE
-1--1,9950928,9950930,COMPUTE
-1--1,9950944,9950946,COMPUTE
-1--1,9950960,9950962,COMPUTE
-1--1,9950976,9950978,COMPUTE
-1--1,9950992,9950994,COMPUTE
-1--1,9951008,9951010,COMPUTE
-1--1,9951024,9951026,COMPUTE
-1--1,9951040,9951042,COMPUTE
-1--1,10100880,10100882,COMPUTE
-1--1,10150896,10150900,COMPUTE
1-4,10150912,10550944,READ
-1--1,10200928,10200932,COMPUTE
1-6,10200944,11351024,READ
-1--1,10200960,10200962,COMPUTE
-1--1,10200976,10200978,COMPUTE
-1--1,10200992,10200994,COMPUTE
-1--1,10201008,10201010,COMPUTE
-1--1,10201024,10201026,COMPUTE
-1--1,10201040,10201042,COMPUTE
-1--1,10201056,10201058,COMPUTE
-1--1,10350896,10350898,COMPUTE
-1--1,10400912,10400914,COMPUTE
-1--1,10400928,10400930,COMPUTE
-1--1,10400944,10400946,COMPUTE
-1--1,10400960,10400962,COMPUTE
-1--1,10450976,10450980,COMPUTE
1-8,10450992,12551136,READ
-1--1,10451008,10451012,COMPUTE
1-10,10451024,10851056,READ
